# PLGA Optimization Results
# Drug: xanthone
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:58:16
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
50,0.5,0.15,177.5,43.3,6.2,64.49
20,0.5,0.15,177.5,43.3,6.2,64.49
10,0.5,0.15,177.5,43.3,6.2,64.49
150,0.5,0.15,177.5,43.3,6.2,64.49
30,0.5,0.15,177.5,43.3,6.2,64.49
100,0.5,0.15,177.5,43.3,6.2,64.49
150,1.0,0.1,178.1,43.2,5.1,64.37
10,1.0,0.1,178.1,43.2,5.1,64.37
50,1.0,0.1,178.1,43.2,5.1,64.37
75,1.0,0.1,178.1,43.2,5.1,64.37
20,1.0,0.1,178.1,43.2,5.1,64.37
30,1.0,0.1,178.1,43.2,5.1,64.37
100,1.0,0.1,178.1,43.2,5.1,64.37
75,0.75,0.1,178.2,42.7,5.2,64.35
100,0.75,0.1,178.2,42.7,5.2,64.35
30,0.75,0.1,178.2,42.7,5.2,64.35
150,0.75,0.1,178.2,42.7,5.2,64.35
20,0.75,0.1,178.2,42.7,5.2,64.35
10,0.75,0.1,178.2,42.7,5.2,64.35
50,0.75,0.1,178.2,42.7,5.2,64.35
150,1.5,0.35,178.3,42.8,9.3,64.34
20,1.5,0.35,178.3,42.8,9.3,64.34
100,1.5,0.35,178.3,42.8,9.3,64.34
50,1.5,0.35,178.3,42.8,9.3,64.34
75,1.5,0.35,178.3,42.8,9.3,64.34
30,1.5,0.35,178.3,42.8,9.3,64.34
10,1.5,0.35,178.3,42.8,9.3,64.34
100,1.5,0.2,178.5,43.3,7.1,64.31
50,1.5,0.2,178.5,43.3,7.1,64.31
10,1.5,0.4,178.4,42.6,9.7,64.31
10,1.5,0.2,178.5,43.3,7.1,64.31
50,1.5,0.4,178.4,42.6,9.7,64.31
100,1.5,0.4,178.4,42.6,9.7,64.31
150,1.5,0.2,178.5,43.3,7.1,64.31
75,1.5,0.2,178.5,43.3,7.1,64.31
20,1.5,0.4,178.4,42.6,9.7,64.31
20,1.5,0.2,178.5,43.3,7.1,64.31
75,1.5,0.4,178.4,42.6,9.7,64.31
150,1.5,0.4,178.4,42.6,9.7,64.31
30,1.5,0.4,178.4,42.6,9.7,64.31
30,1.5,0.2,178.5,43.3,7.1,64.31
20,0.5,0.1,178.9,43.1,5.3,64.23
100,0.5,0.1,178.9,43.1,5.3,64.23
10,0.5,0.1,178.9,43.1,5.3,64.23
30,0.5,0.1,178.9,43.1,5.3,64.23
50,0.5,0.1,178.9,43.1,5.3,64.23
150,0.5,0.1,178.9,43.1,5.3,64.23
75,0.5,0.1,178.9,43.1,5.3,64.23
50,2.0,0.3,179.4,42.0,9.1,64.11
20,2.0,0.3,179.4,42.0,9.1,64.11
75,2.0,0.3,179.4,42.0,9.1,64.11
100,2.0,0.3,179.4,42.0,9.1,64.11
150,2.0,0.3,179.4,42.0,9.1,64.11
30,2.0,0.3,179.4,42.0,9.1,64.11
10,2.0,0.3,179.4,42.0,9.1,64.11
50,2.0,0.25,179.5,42.2,8.2,64.1
10,2.0,0.25,179.5,42.2,8.2,64.1
30,2.0,0.25,179.5,42.2,8.2,64.1
20,2.0,0.25,179.5,42.2,8.2,64.1
75,2.0,0.25,179.5,42.2,8.2,64.1
100,2.0,0.25,179.5,42.2,8.2,64.1
150,2.0,0.25,179.5,42.2,8.2,64.1
75,1.5,0.15,179.7,43.6,6.8,64.06
20,1.5,0.15,179.7,43.6,6.8,64.06
30,1.5,0.15,179.7,43.6,6.8,64.06
10,1.5,0.15,179.7,43.6,6.8,64.06
150,1.5,0.15,179.7,43.6,6.8,64.06
50,1.5,0.15,179.7,43.6,6.8,64.06
100,1.5,0.15,179.7,43.6,6.8,64.06
150,1.0,0.05,180.2,42.5,3.8,63.95
10,1.0,0.05,180.2,42.5,3.8,63.95
20,1.0,0.05,180.2,42.5,3.8,63.95
50,1.0,0.05,180.2,42.5,3.8,63.95
100,1.0,0.05,180.2,42.5,3.8,63.95
30,1.0,0.05,180.2,42.5,3.8,63.95
75,1.0,0.05,180.2,42.5,3.8,63.95
20,0.75,0.05,180.5,41.9,3.9,63.9
30,0.75,0.05,180.5,41.9,3.9,63.9
10,0.75,0.05,180.5,41.9,3.9,63.9
150,0.75,0.05,180.5,41.9,3.9,63.9
100,0.75,0.05,180.5,41.9,3.9,63.9
50,0.75,0.05,180.5,41.9,3.9,63.9
75,0.75,0.05,180.5,41.9,3.9,63.9
75,1.5,0.1,180.9,43.2,5.7,63.81
30,1.5,0.1,180.9,43.2,5.7,63.81
100,1.5,0.1,180.9,43.2,5.7,63.81
150,1.5,0.1,180.9,43.2,5.7,63.81
50,1.5,0.1,180.9,43.2,5.7,63.81
20,1.5,0.1,180.9,43.2,5.7,63.81
10,1.5,0.1,180.9,43.2,5.7,63.81
30,2.0,0.2,181.0,42.7,7.2,63.8
75,2.0,0.2,181.0,42.7,7.2,63.8
20,2.0,0.2,181.0,42.7,7.2,63.8
150,2.0,0.2,181.0,42.7,7.2,63.8
50,2.0,0.2,181.0,42.7,7.2,63.8
100,2.0,0.2,181.0,42.7,7.2,63.8
10,2.0,0.2,181.0,42.7,7.2,63.8
100,2.0,0.35,181.3,42.3,9.3,63.74
75,2.0,0.35,181.3,42.3,9.3,63.74
75,0.5,0.05,181.3,42.2,4.0,63.74
100,0.5,0.05,181.3,42.2,4.0,63.74
10,0.5,0.05,181.3,42.2,4.0,63.74
50,0.5,0.05,181.3,42.2,4.0,63.74
30,0.5,0.05,181.3,42.2,4.0,63.74
10,2.0,0.35,181.3,42.3,9.3,63.74
20,2.0,0.35,181.3,42.3,9.3,63.74
150,0.5,0.05,181.3,42.2,4.0,63.74
20,0.5,0.05,181.3,42.2,4.0,63.74
150,2.0,0.35,181.3,42.3,9.3,63.74
50,2.0,0.35,181.3,42.3,9.3,63.74
30,2.0,0.35,181.3,42.3,9.3,63.74
30,2.0,0.15,181.4,42.9,6.9,63.72
20,2.0,0.4,181.4,42.1,9.8,63.72
20,2.0,0.15,181.4,42.9,6.9,63.72
75,2.0,0.15,181.4,42.9,6.9,63.72
150,2.0,0.15,181.4,42.9,6.9,63.72
75,2.0,0.4,181.4,42.1,9.8,63.72
150,2.0,0.4,181.4,42.1,9.8,63.72
30,2.0,0.4,181.4,42.1,9.8,63.72
10,2.0,0.4,181.4,42.1,9.8,63.72
50,2.0,0.15,181.4,42.9,6.9,63.72
50,2.0,0.4,181.4,42.1,9.8,63.72
10,2.0,0.15,181.4,42.9,6.9,63.72
100,2.0,0.15,181.4,42.9,6.9,63.72
100,2.0,0.4,181.4,42.1,9.8,63.72
20,2.5,0.3,182.1,42.5,9.1,63.59
50,2.5,0.3,182.1,42.5,9.1,63.59
30,2.5,0.3,182.1,42.5,9.1,63.59
10,2.5,0.3,182.1,42.5,9.1,63.59
75,2.5,0.3,182.1,42.5,9.1,63.59
100,2.5,0.3,182.1,42.5,9.1,63.59
