# PLGA Optimization Results
# Drug: xanthone
# Priority: balanced
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 08:57:47
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
50000,3.0,0.4,200.4,43.3,9.9,46.82
20000,3.0,0.4,200.4,43.3,9.9,46.82
100000,3.0,0.4,200.4,43.3,9.9,46.82
75000,1.5,0.25,177.1,42.7,8.1,46.73
50000,1.5,0.25,177.1,42.7,8.1,46.73
150000,1.5,0.25,177.1,42.7,8.1,46.73
30000,1.5,0.25,177.1,42.7,8.1,46.73
100000,1.5,0.25,177.1,42.7,8.1,46.73
20000,1.5,0.25,177.1,42.7,8.1,46.73
10000,1.5,0.25,177.1,42.7,8.1,46.73
10000,4.0,0.3,195.2,43.5,9.2,46.57
100000,4.0,0.3,195.2,43.5,9.2,46.57
30000,4.0,0.3,195.2,43.5,9.2,46.57
75000,4.0,0.3,195.2,43.5,9.2,46.57
50000,4.0,0.3,195.2,43.5,9.2,46.57
20000,4.0,0.3,195.2,43.5,9.2,46.57
150000,4.0,0.3,195.2,43.5,9.2,46.57
50000,3.0,0.35,200.0,43.5,9.4,46.48
30000,3.0,0.35,200.0,43.5,9.4,46.48
10000,3.0,0.35,200.0,43.5,9.4,46.48
75000,3.0,0.35,200.0,43.5,9.4,46.48
150000,3.0,0.35,200.0,43.5,9.4,46.48
20000,3.0,0.35,200.0,43.5,9.4,46.48
100000,3.0,0.35,200.0,43.5,9.4,46.48
50000,2.0,0.25,179.5,42.2,8.2,46.46
10000,2.0,0.25,179.5,42.2,8.2,46.46
150000,2.0,0.25,179.5,42.2,8.2,46.46
75000,2.0,0.25,179.5,42.2,8.2,46.46
30000,2.0,0.25,179.5,42.2,8.2,46.46
100000,2.0,0.25,179.5,42.2,8.2,46.46
20000,2.0,0.25,179.5,42.2,8.2,46.46
30000,2.5,0.25,182.2,42.6,8.2,46.37
10000,2.5,0.25,182.2,42.6,8.2,46.37
50000,2.5,0.25,182.2,42.6,8.2,46.37
150000,2.5,0.25,182.2,42.6,8.2,46.37
75000,2.5,0.25,182.2,42.6,8.2,46.37
20000,2.5,0.25,182.2,42.6,8.2,46.37
100000,2.5,0.25,182.2,42.6,8.2,46.37
75000,1.0,0.25,175.0,42.7,7.5,46.28
10000,1.0,0.25,175.0,42.7,7.5,46.28
50000,1.0,0.25,175.0,42.7,7.5,46.28
100000,1.0,0.25,175.0,42.7,7.5,46.28
150000,1.0,0.25,175.0,42.7,7.5,46.28
20000,1.0,0.25,175.0,42.7,7.5,46.28
30000,1.0,0.25,175.0,42.7,7.5,46.28
10000,0.5,0.25,175.8,42.4,7.6,46.22
100000,0.5,0.25,175.8,42.4,7.6,46.22
20000,0.5,0.25,175.8,42.4,7.6,46.22
150000,0.5,0.25,175.8,42.4,7.6,46.22
30000,0.5,0.25,175.8,42.4,7.6,46.22
50000,0.5,0.25,175.8,42.4,7.6,46.22
75000,0.5,0.25,175.8,42.4,7.6,46.22
20000,3.0,0.3,198.5,43.1,9.2,46.2
50000,3.0,0.3,198.5,43.1,9.2,46.2
75000,3.0,0.3,198.5,43.1,9.2,46.2
100000,3.0,0.3,198.5,43.1,9.2,46.2
30000,3.0,0.3,198.5,43.1,9.2,46.2
150000,3.0,0.3,198.5,43.1,9.2,46.2
10000,3.0,0.3,198.5,43.1,9.2,46.2
30000,0.75,0.25,175.1,42.1,7.5,46.12
50000,0.75,0.25,175.1,42.1,7.5,46.12
20000,0.75,0.25,175.1,42.1,7.5,46.12
150000,0.75,0.25,175.1,42.1,7.5,46.12
100000,0.75,0.25,175.1,42.1,7.5,46.12
10000,0.75,0.25,175.1,42.1,7.5,46.12
75000,0.75,0.25,175.1,42.1,7.5,46.12
75000,1.5,0.2,178.5,43.3,7.1,45.86
