# PLGA Optimization Results
# Drug: paeonol
# Priority: ee
# Min EE: 25.0%
# Max Size: 500 nm
# Date: 2026-04-04 03:49:38
# Total formulations evaluated: 392
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
20000,1.5,0.15,170.7,26.6,10.1,26.61
10000,1.0,0.15,170.9,26.6,10.1,26.61
30000,1.0,0.15,170.9,26.6,10.1,26.61
75000,0.5,0.15,170.9,26.6,10.1,26.61
100000,1.5,0.15,170.7,26.6,10.1,26.61
75000,0.75,0.15,170.9,26.6,10.1,26.61
150000,0.75,0.15,170.9,26.6,10.1,26.61
100000,0.75,0.15,170.9,26.6,10.1,26.61
100000,0.5,0.15,170.9,26.6,10.1,26.61
75000,1.0,0.15,170.9,26.6,10.1,26.61
50000,0.5,0.15,170.9,26.6,10.1,26.61
30000,0.5,0.15,170.9,26.6,10.1,26.61
10000,1.5,0.15,170.7,26.6,10.1,26.61
30000,0.75,0.15,170.9,26.6,10.1,26.61
75000,1.5,0.15,170.7,26.6,10.1,26.61
150000,0.5,0.15,170.9,26.6,10.1,26.61
30000,1.5,0.15,170.7,26.6,10.1,26.61
50000,1.5,0.15,170.7,26.6,10.1,26.61
10000,0.5,0.15,170.9,26.6,10.1,26.61
10000,0.75,0.15,170.9,26.6,10.1,26.61
20000,0.5,0.15,170.9,26.6,10.1,26.61
150000,1.0,0.15,170.9,26.6,10.1,26.61
20000,0.75,0.15,170.9,26.6,10.1,26.61
50000,1.0,0.15,170.9,26.6,10.1,26.61
20000,1.0,0.15,170.9,26.6,10.1,26.61
150000,1.5,0.15,170.7,26.6,10.1,26.61
150000,2.0,0.15,170.7,26.6,10.0,26.55
100000,2.0,0.15,170.7,26.6,10.0,26.55
10000,2.0,0.15,170.7,26.6,10.0,26.55
75000,2.0,0.15,170.7,26.6,10.0,26.55
50000,2.0,0.15,170.7,26.6,10.0,26.55
30000,2.0,0.15,170.7,26.6,10.0,26.55
20000,2.0,0.15,170.7,26.6,10.0,26.55
10000,1.5,0.25,173.0,26.4,11.0,26.38
75000,1.5,0.25,173.0,26.4,11.0,26.38
