# PLGA Optimization Results
# Drug: tretinoin
# Priority: balanced
# Min EE: 30%
# Max Size: 500 nm
# Date: 2026-04-04 03:44:03
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
50000,2.0,0.05,190.3,69.7,1.8,47.46
150000,1.5,0.05,190.3,69.7,1.8,47.46
30000,2.0,0.05,190.3,69.7,1.8,47.46
10000,1.5,0.05,190.3,69.7,1.8,47.46
100000,2.0,0.05,190.3,69.7,1.8,47.46
100000,1.5,0.05,190.3,69.7,1.8,47.46
10000,2.0,0.05,190.3,69.7,1.8,47.46
20000,1.5,0.05,190.3,69.7,1.8,47.46
75000,2.0,0.05,190.3,69.7,1.8,47.46
75000,1.5,0.05,190.3,69.7,1.8,47.46
20000,2.0,0.05,190.3,69.7,1.8,47.46
30000,1.5,0.05,190.3,69.7,1.8,47.46
50000,1.5,0.05,190.3,69.7,1.8,47.46
10000,0.75,0.05,189.8,69.7,1.7,47.42
20000,0.75,0.05,189.8,69.7,1.7,47.42
30000,0.75,0.05,189.8,69.7,1.7,47.42
50000,0.75,0.05,189.8,69.7,1.7,47.42
150000,0.75,0.05,189.8,69.7,1.7,47.42
75000,0.75,0.05,189.8,69.7,1.7,47.42
100000,0.75,0.05,189.8,69.7,1.7,47.42
150000,1.0,0.05,189.9,69.7,1.7,47.41
100000,1.0,0.05,189.9,69.7,1.7,47.41
50000,1.0,0.05,189.9,69.7,1.7,47.41
30000,1.0,0.05,189.9,69.7,1.7,47.41
10000,1.0,0.05,189.9,69.7,1.7,47.41
75000,1.0,0.05,189.9,69.7,1.7,47.41
20000,1.0,0.05,189.9,69.7,1.7,47.41
150000,0.5,0.05,190.1,69.7,1.7,47.38
100000,0.5,0.05,190.1,69.7,1.7,47.38
20000,0.5,0.05,190.1,69.7,1.7,47.38
50000,0.5,0.05,190.1,69.7,1.7,47.38
30000,0.5,0.05,190.1,69.7,1.7,47.38
75000,0.5,0.05,190.1,69.7,1.7,47.38
10000,0.5,0.05,190.1,69.7,1.7,47.38
