# PLGA Optimization Results
# Drug: tretinoin
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 11:32:41
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
10,1.5,0.35,217.4,70.8,12.4,56.51
30,1.5,0.35,217.4,70.8,12.4,56.51
150,1.5,0.4,217.8,70.3,12.7,56.44
30,1.5,0.4,217.8,70.3,12.7,56.44
10,1.5,0.4,217.8,70.3,12.7,56.44
100,1.5,0.4,217.8,70.3,12.7,56.44
50,1.5,0.4,217.8,70.3,12.7,56.44
20,1.5,0.4,217.8,70.3,12.7,56.44
75,1.5,0.4,217.8,70.3,12.7,56.44
50,1.5,0.25,219.6,70.4,10.9,56.08
75,1.5,0.25,219.6,70.4,10.9,56.08
20,1.5,0.25,219.6,70.4,10.9,56.08
150,1.5,0.25,219.6,70.4,10.9,56.08
100,1.5,0.25,219.6,70.4,10.9,56.08
30,1.5,0.25,219.6,70.4,10.9,56.08
10,1.5,0.25,219.6,70.4,10.9,56.08
10,1.5,0.2,220.5,70.4,9.4,55.9
50,1.5,0.2,220.5,70.4,9.4,55.9
100,1.5,0.2,220.5,70.4,9.4,55.9
150,1.5,0.2,220.5,70.4,9.4,55.9
20,1.5,0.2,220.5,70.4,9.4,55.9
75,1.5,0.2,220.5,70.4,9.4,55.9
30,1.5,0.2,220.5,70.4,9.4,55.9
150,0.5,0.05,220.6,69.7,5.9,55.88
100,0.5,0.05,220.6,69.7,5.9,55.88
75,0.5,0.05,220.6,69.7,5.9,55.88
50,0.5,0.05,220.6,69.7,5.9,55.88
10,0.5,0.05,220.6,69.7,5.9,55.88
20,0.5,0.05,220.6,69.7,5.9,55.88
30,0.5,0.05,220.6,69.7,5.9,55.88
10,1.5,0.15,221.0,71.3,8.8,55.8
30,1.5,0.15,221.0,71.3,8.8,55.8
75,1.5,0.15,221.0,71.3,8.8,55.8
150,1.5,0.15,221.0,71.3,8.8,55.8
20,1.5,0.15,221.0,71.3,8.8,55.8
100,1.5,0.15,221.0,71.3,8.8,55.8
50,1.5,0.15,221.0,71.3,8.8,55.8
75,1.5,0.1,221.7,71.1,7.9,55.66
100,1.5,0.1,221.7,71.1,7.9,55.66
10,1.5,0.1,221.7,71.1,7.9,55.66
50,1.5,0.1,221.7,71.1,7.9,55.66
30,1.5,0.1,221.7,71.1,7.9,55.66
20,1.5,0.1,221.7,71.1,7.9,55.66
150,1.5,0.1,221.7,71.1,7.9,55.66
50,2.0,0.3,222.0,69.7,12.1,55.61
100,2.0,0.3,222.0,69.7,12.1,55.61
75,2.0,0.3,222.0,69.7,12.1,55.61
10,2.0,0.3,222.0,69.7,12.1,55.61
150,2.0,0.3,222.0,69.7,12.1,55.61
30,2.0,0.3,222.0,69.7,12.1,55.61
20,2.0,0.3,222.0,69.7,12.1,55.61
150,2.0,0.35,222.5,70.0,12.8,55.5
100,2.0,0.35,222.5,70.0,12.8,55.5
10,2.0,0.35,222.5,70.0,12.8,55.5
50,2.0,0.35,222.5,70.0,12.8,55.5
20,2.0,0.35,222.5,70.0,12.8,55.5
30,2.0,0.35,222.5,70.0,12.8,55.5
75,2.0,0.35,222.5,70.0,12.8,55.5
30,2.5,0.3,222.8,69.6,12.0,55.44
75,2.5,0.3,222.8,69.6,12.0,55.44
20,2.5,0.3,222.8,69.6,12.0,55.44
100,2.5,0.3,222.8,69.6,12.0,55.44
150,2.5,0.3,222.8,69.6,12.0,55.44
50,2.5,0.3,222.8,69.6,12.0,55.44
10,2.5,0.3,222.8,69.6,12.0,55.44
20,2.0,0.4,223.1,69.5,13.2,55.37
150,2.0,0.4,223.1,69.5,13.2,55.37
10,2.0,0.4,223.1,69.5,13.2,55.37
50,2.0,0.4,223.1,69.5,13.2,55.37
75,2.0,0.4,223.1,69.5,13.2,55.37
30,2.0,0.4,223.1,69.5,13.2,55.37
100,2.0,0.4,223.1,69.5,13.2,55.37
20,2.5,0.35,223.4,70.0,12.8,55.33
30,2.5,0.35,223.4,70.0,12.8,55.33
150,2.5,0.35,223.4,70.0,12.8,55.33
10,2.5,0.35,223.4,70.0,12.8,55.33
100,2.5,0.35,223.4,70.0,12.8,55.33
50,2.5,0.35,223.4,70.0,12.8,55.33
75,2.5,0.35,223.4,70.0,12.8,55.33
20,2.5,0.4,224.0,69.5,13.2,55.2
30,2.5,0.4,224.0,69.5,13.2,55.2
150,2.5,0.4,224.0,69.5,13.2,55.2
50,2.5,0.4,224.0,69.5,13.2,55.2
75,2.5,0.4,224.0,69.5,13.2,55.2
100,2.5,0.4,224.0,69.5,13.2,55.2
10,2.5,0.4,224.0,69.5,13.2,55.2
75,2.5,0.25,224.2,69.5,11.1,55.15
150,2.5,0.25,224.2,69.5,11.1,55.15
20,2.5,0.25,224.2,69.5,11.1,55.15
10,2.5,0.25,224.2,69.5,11.1,55.15
100,2.5,0.25,224.2,69.5,11.1,55.15
30,2.5,0.25,224.2,69.5,11.1,55.15
50,2.5,0.25,224.2,69.5,11.1,55.15
30,2.0,0.25,224.4,69.6,11.1,55.12
