# PLGA Optimization Results
# Drug: ropinirole
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:00:41
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
20000,1.0,0.3,170.0,35.4,10.4,65.99
75000,0.5,0.25,170.0,35.0,9.8,65.99
10000,0.5,0.25,170.0,35.0,9.8,65.99
30000,1.0,0.3,170.0,35.4,10.4,65.99
100000,1.0,0.3,170.0,35.4,10.4,65.99
75000,0.5,0.3,170.1,35.1,10.4,65.99
150000,1.0,0.3,170.0,35.4,10.4,65.99
10000,0.5,0.3,170.1,35.1,10.4,65.99
150000,0.5,0.25,170.0,35.0,9.8,65.99
50000,0.5,0.3,170.1,35.1,10.4,65.99
30000,0.5,0.25,170.0,35.0,9.8,65.99
50000,0.5,0.25,170.0,35.0,9.8,65.99
75000,1.0,0.3,170.0,35.4,10.4,65.99
10000,1.0,0.3,170.0,35.4,10.4,65.99
20000,0.5,0.25,170.0,35.0,9.8,65.99
20000,0.5,0.3,170.1,35.1,10.4,65.99
50000,1.0,0.3,170.0,35.4,10.4,65.99
100000,0.5,0.3,170.1,35.1,10.4,65.99
100000,0.5,0.25,170.0,35.0,9.8,65.99
150000,0.5,0.3,170.1,35.1,10.4,65.99
30000,0.5,0.3,170.1,35.1,10.4,65.99
50000,0.75,0.3,170.1,35.5,10.3,65.98
50000,0.75,0.25,170.1,35.5,9.8,65.98
75000,0.75,0.25,170.1,35.5,9.8,65.98
150000,0.75,0.25,170.1,35.5,9.8,65.98
10000,0.75,0.25,170.1,35.5,9.8,65.98
10000,0.75,0.3,170.1,35.5,10.3,65.98
75000,0.75,0.3,170.1,35.5,10.3,65.98
100000,0.75,0.25,170.1,35.5,9.8,65.98
20000,0.75,0.25,170.1,35.5,9.8,65.98
20000,0.75,0.3,170.1,35.5,10.3,65.98
150000,0.75,0.3,170.1,35.5,10.3,65.98
100000,0.75,0.3,170.1,35.5,10.3,65.98
30000,0.75,0.25,170.1,35.5,9.8,65.98
30000,0.75,0.3,170.1,35.5,10.3,65.98
